period_begin,period_end,period_duration,region_type,region_type_id,table_id,is_seasonally_adjusted,region,city,state,state_code,property_type,property_type_id,median_sale_price,median_sale_price_mom,median_sale_price_yoy,median_list_price,median_list_price_mom,median_list_price_yoy,median_ppsf,median_ppsf_mom,median_ppsf_yoy,median_list_ppsf,median_list_ppsf_mom,median_list_ppsf_yoy,homes_sold,homes_sold_mom,homes_sold_yoy,pending_sales,pending_sales_mom,pending_sales_yoy,new_listings,new_listings_mom,new_listings_yoy,inventory,inventory_mom,inventory_yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,median_dom,median_dom_mom,median_dom_yoy,avg_sale_to_list,avg_sale_to_list_mom,avg_sale_to_list_yoy,sold_above_list,sold_above_list_mom,sold_above_list_yoy,price_drops,price_drops_mom,price_drops_yoy,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region,parent_metro_region_metro_code,last_updated
3/1/13,3/31/13,30,national,11,1400,f, National,National,U.S.,US,Multi-Family (2-4 Unit),4,174575,-0.00821683,0.119867419,195955,0.011451884,0.114054039,82,0.002280857,0.113087326,90,0.009608239,0.102089827,8770,0.24978778,-0.004010993,6721,0.21484016,0.005220096,13765,0.203290828,-0.034368354,47081,0.014516625,-0.183202827,5.367978058,-1.244859243,-1.177645887,70,-12,-16,0.949947706,-0.000221116,0.010371953,0.22409693,-0.002968921,0.020591501,0.044643037,0.000883865,-0.012792151,0.350363021,-0.018311189,0.028505315,,,9/11/22 14:57
7/1/17,7/31/17,30,national,11,1400,f, National,National,U.S.,US,Multi-Family (2-4 Unit),4,274758,-0.047676659,0.094893549,294311,0.024453621,0.118501736,131,-0.020083253,0.114821798,138,0.013916763,0.117736837,10596,-0.114623644,0.078508105,9939,-0.042657969,0.132679758,14669,-0.073211726,0.004830297,41222,0.00040311,-0.143410074,3.890049442,0.447279455,-1.00780159,39,2,-4,0.972173447,0.001533994,0.005732578,0.28193615,-0.008078514,0.016673331,0.095311672,0.003686826,-0.000849214,0.377146275,-0.01404212,0.015877471,,,9/11/22 14:57
8/1/16,8/31/16,30,national,11,1400,f, National,National,U.S.,US,Townhouse,13,230092,-0.007569697,0.046903019,232856,-0.013190224,0.073457576,143,-0.004209329,0.037660494,146,-0.016104381,0.046167921,52906,0.060835719,0.140497141,43615,0.015816795,0.15001707,56061,-0.029239033,0.041700611,137667,-0.025363524,-0.075803061,2.60208887,-0.230135128,-0.608996119,38,2,-4,0.985923844,-0.000472848,0.0042425,0.24384266,-0.005098358,0.025733293,0.100959973,0.001326556,-0.006245208,0.362189581,-0.011679458,0.01742893,,,9/11/22 14:57
9/1/16,9/30/16,30,national,11,1400,f, National,National,U.S.,US,Multi-Family (2-4 Unit),4,252368,-0.018361372,0.080103048,266013,0.016591864,0.059022943,120,-0.025321559,0.074610396,124,0.028198499,0.051961704,10383,-0.08053445,-0.007758814,8661,-0.056766477,0.053157245,14405,-0.076114234,-0.039132518,48388,-0.004120878,-0.126474503,4.660007967,0.357561322,-0.633314147,47,5,-1,0.961617606,-0.000912318,0.002209233,0.233499882,-0.014367052,0.017049256,0.102712978,-0.004766169,-0.004267112,0.343932555,-0.016214631,0.029131627,,,9/11/22 14:57
9/1/15,9/30/15,30,national,11,1400,f, National,National,U.S.,US,Multi-Family (2-4 Unit),4,233652,-0.049941836,0.100482886,251187,0.029339858,0.083281236,111,-0.056235492,0.126356216,118,0.013776446,0.107770068,10464,0.074824526,0.091415103,8224,-0.076553551,0.132387067,14991,-0.028381433,0.04630172,55394,0.000564245,-0.03375148,5.293322114,-0.392861916,-0.685690095,49,2,-13,0.959408373,-0.002533496,0.003131983,0.216450627,-0.011174452,0.007386412,0.106980089,0.007616136,0.026948613,0.314800928,-0.006349649,0.054965697,,,9/11/22 14:57
6/1/17,6/30/17,30,national,11,1400,f, National,National,U.S.,US,Condo/Co-op,3,235601,0.015651442,0.055431903,248120,-0.01023665,0.044446329,200,0.015626513,0.054961372,209,-0.006685106,0.051043374,78043,0.070048908,0.043487793,63557,-0.035850318,0.064951527,84461,-0.017004306,0.041693335,174839,0.009339926,-0.123064455,2.240273492,-0.134746204,-0.425484619,35,0,-6,0.985660746,0.000705763,0.00455153,0.261432787,0.011555895,0.040846176,0.098184987,0.003575104,-0.010611145,0.407572591,-0.025411015,0.04204507,,,9/11/22 14:57
6/1/15,6/30/15,30,national,11,1400,t, National,National,U.S.,US,Townhouse,13,217110.1182,0.011158883,0.069365906,220039.1743,-0.001701828,0.071374455,135.8043233,0.014526918,0.04148368,138.7042589,0.001456781,0.062953473,41339.92498,0.003419356,0.137286592,35326.89165,0.009513743,0.193460243,50975.50362,-0.074149565,0.056603549,143327.1727,-0.01222722,0.009987225,3.469937008,-0.046458817,-0.513838008,47.48976831,1,-2,0.979050928,5.99E-05,0.002922989,0.206803138,0.006492477,0.011002873,0.100113908,-0.003491571,0.010302512,0.350560506,-0.006699292,0.000824158,,,9/13/22 0:00
3/1/12,3/31/12,30,national,11,1400,t, National,National,U.S.,US,All Residential,-1,174512.7882,0.013369014,,188241.5567,0.009498797,,96.42574325,0.017051739,,104.3646689,0.010369455,,393289.511,0.015359833,,268073.5289,-0.006537612,,526020.712,-0.004181084,,2194925.985,-0.016097292,,5.855616243,-0.062116893,,84.87611093,2,,0.964602027,0.002886284,,0.183874384,-0.007257056,,0.060145405,-0.000420906,,0.272263769,0.009579628,,,,9/13/22 0:00
1/1/20,1/31/20,30,national,11,1400,t, National,National,U.S.,US,Townhouse,13,274451.302,0.001920279,0.064763955,282595.2974,0.011903382,0.072052706,167.8229527,0.001495733,0.063554158,173.4504887,0.012145789,0.071556519,52658.57262,0.005974177,0.122978547,47014.84456,0.01338751,0.123782078,60592.07137,0.077934465,0.06031079,119901.4583,-0.003128131,-0.050441966,2.476847155,0.032885598,-0.526345276,39.60953872,1,1,0.988512348,-0.001326708,0.00118151,0.235495689,-0.01565734,0.002593153,0.12857906,0.003851349,-0.018290484,0.410816451,0.031395386,0.029422527,,,9/13/22 0:00
5/1/18,5/31/18,30,national,11,1400,f, National,National,U.S.,US,Condo/Co-op,3,243286,-0.004506413,0.048781459,263809,-0.000126976,0.052348232,207,-0.012664979,0.054571821,222,-0.000396319,0.053013903,72776,0.120537816,-0.0021705,67260,0.042915858,0.020333168,88860,0.007696245,0.034188442,168507,0.035279173,-0.027213193,2.31541343,-0.190681907,-0.059606266,29,-2,-5,0.98746511,0.000421177,0.002510127,0.265398438,0.008418712,0.015521546,0.11690193,0.012249252,0.022292047,0.444082205,-0.01507981,0.0110986,,,9/11/22 14:57
7/1/14,7/31/14,30,national,11,1400,f, National,National,U.S.,US,Single Family Residential,6,234706,-0.003732386,0.037463296,238273,-0.025285311,0.05501224,118,0.005472725,0.048183245,120,-0.00788,0.048874546,421341,-0.013307517,-0.027769157,304444,-0.064243035,-0.022562476,531194,-0.042472202,0.033984187,1696243,0.037982255,0.064420119,4.025816219,0.198927481,0.348675372,46,-3,-7,0.977141125,-0.000863713,-0.00299099,0.208985578,-0.007980095,-0.033592349,0.096422121,-0.000905918,0.030850369,0.307546501,-0.021970248,0.005813544,,,9/11/22 14:57
7/1/16,7/31/16,30,national,11,1400,f, National,National,U.S.,US,Single Units Only,-2,256590,-0.008926406,0.0626365,263411,-0.0175476,0.067860434,137,1.67E-05,0.059663666,141,-0.004971661,0.070079199,577231,-0.115015945,-0.061792362,462375,-0.089264117,-0.02345911,669558,-0.101420733,-0.055955655,1859523,0.009589013,-0.080768623,3.221452981,0.397596454,-0.066502446,41,0,-4,0.983941852,-0.00057113,0.003207461,0.25295008,-0.002900955,0.023090233,0.136633234,0.000187538,-0.000487804,0.341371509,-0.024782798,0.024061218,,,9/11/22 14:57
8/1/22,8/31/22,30,national,11,1400,f, National,National,U.S.,US,All Residential,-1,406890,-0.012547251,0.071420813,408234,-0.026490255,0.091741726,225,-0.007836859,0.089525845,226,-0.01039594,0.099310998,552035,0.037985197,-0.188807933,565288,0.053131574,-0.155403574,589327,-0.141538772,-0.19167826,1118397,-0.053084409,0.143084758,2.025952876,-0.194846017,0.588231928,26,5,9,0.99871206,-0.011370975,-0.01741013,0.37628811,-0.096482943,-0.142729754,0.222390607,0.019844929,0.097502614,0.343423643,-0.038190219,-0.152263739,,,9/11/22 14:57
